v_supply	V(v_batteries)	V(vout_batt)	V(n001)	V(n002)	I(C1)	I(C2)	I(C_adc)	I(R1)	I(R2)	I(R_adc)	I(V1)	Ix(U1:In+)	Ix(U1:In-)	Ix(U1:OUT)	Ix(U1:V+)	Ix(U1:V-)
1.200000000000000e-01	1.200000e-01	-5.307692e-02	-6.900000e-01	-5.307692e-02	-1.200000e-18	1.200000e-20	-5.307692e-21	5.307692e-06	5.307692e-06	5.273560e-21	3.658334e+06	2.741430e-13	-1.910349e-05	2.447127e-05	-3.658334e+06	3.658334e+06
2.200000000000000e-01	2.200000e-01	-4.923077e-02	-6.400000e-01	-4.923077e-02	-2.200000e-18	2.200000e-20	-4.923077e-21	4.923077e-06	4.923077e-06	4.926615e-21	5.293476e+05	4.292742e-13	-1.386450e-05	1.878322e-05	-5.293476e+05	5.293476e+05
3.200000000000000e-01	3.200000e-01	-4.538462e-02	-5.900000e-01	-4.538462e-02	-3.200000e-18	3.200000e-20	-4.538462e-21	4.538461e-06	4.538461e-06	4.510281e-21	7.659468e+04	5.851659e-13	-8.993185e-06	1.353189e-05	-7.659468e+04	7.659468e+04
4.200000000000000e-01	4.200000e-01	-4.153846e-02	-5.400000e-01	-4.153846e-02	-4.200000e-18	4.200000e-20	-4.153846e-21	4.153846e-06	4.153846e-06	4.163337e-21	1.108297e+04	7.416371e-13	-4.778237e-06	8.932213e-06	-1.108297e+04	1.108297e+04
5.200000000000000e-01	5.200000e-01	-3.769231e-02	-4.900000e-01	-3.769231e-02	-5.200000e-18	5.200000e-20	-3.769231e-21	3.769231e-06	3.769231e-06	3.747003e-21	1.603666e+03	8.975023e-13	-1.769965e-06	5.539161e-06	-1.603666e+03	1.603666e+03
6.200000000000000e-01	6.200000e-01	-3.384615e-02	-4.400000e-01	-3.384615e-02	-6.200000e-18	6.200000e-20	-3.384615e-21	3.384615e-06	3.384615e-06	3.400058e-21	2.320446e+02	1.050641e-12	-4.193085e-07	3.803927e-06	-2.320446e+02	2.320446e+02
7.200000000000000e-01	7.200000e-01	-3.000000e-02	-3.900000e-01	-3.000000e-02	-7.200000e-18	7.200000e-20	-3.000000e-21	3.000000e-06	3.000000e-06	2.983724e-21	3.357598e+01	1.201441e-12	-1.005611e-07	3.100560e-06	-3.357598e+01	3.357597e+01
8.200000000000000e-01	8.200000e-01	-2.615384e-02	-3.400000e-01	-2.615384e-02	-8.200000e-18	8.200000e-20	-2.615385e-21	2.615384e-06	2.615384e-06	2.602085e-21	4.858294e+00	1.351573e-12	-4.892476e-08	2.664309e-06	-4.858294e+00	4.858285e+00
9.199999999999999e-01	9.200000e-01	-2.230768e-02	-2.899998e-01	-2.230768e-02	-9.200000e-18	9.200000e-20	-2.230768e-21	2.230768e-06	2.230768e-06	2.220446e-21	7.029458e-01	1.501592e-12	-4.131634e-08	2.272084e-06	-7.029458e-01	7.029378e-01
1.020000000000000e+00	1.020000e+00	-1.846146e-02	-2.399990e-01	-1.846146e-02	-1.020000e-17	1.020000e-19	-1.846146e-21	1.846146e-06	1.846146e-06	1.838807e-21	1.016793e-01	1.651594e-12	-4.021192e-08	1.886358e-06	-1.016793e-01	1.016713e-01
1.120000000000000e+00	1.120000e+00	-1.461485e-02	-1.899930e-01	-1.461485e-02	-1.120000e-17	1.120000e-19	-1.461485e-21	1.461485e-06	1.461485e-06	1.457168e-21	1.467536e-02	1.801589e-12	-4.005205e-08	1.501537e-06	-1.467536e-02	1.466743e-02
1.220000000000000e+00	1.220000e+00	-1.076551e-02	-1.399516e-01	-1.076551e-02	-1.220000e-17	1.220000e-19	-1.076551e-21	1.076551e-06	1.076551e-06	1.075529e-21	2.083388e-03	1.951547e-12	-4.002888e-08	1.116580e-06	-2.083388e-03	2.075460e-03
1.320000000000000e+00	1.320000e+00	-6.897372e-03	-8.966584e-02	-6.897372e-03	-1.320000e-17	1.320000e-19	-6.897372e-22	6.897372e-07	6.897372e-07	6.852158e-22	2.585761e-04	2.101262e-12	-4.002545e-08	7.297626e-07	-2.585761e-04	2.506473e-04
