i_load	V(v1)	V(v2)	V(v_batteries)	V(vout_5v)	V(n001)	V(n002)	V(n003)	I(C1)	I(C2)	I(C_adc)	I(Im1)	I(R1)	I(R2)	I(R3)	I(R4)	I(R5v)	I(R_adc)	I(V1)	I(V_regulator)	Ix(U1:In+)	Ix(U1:In-)	Ix(U1:OUT)	Ix(U1:V+)	Ix(U1:V-)
0.000000000000000e+00	5.000000e+00	5.000000e+00	1.440000e+01	9.510640e-02	4.867625e+00	9.510640e-02	4.865067e+00	-1.440000e-16	1.440000e-18	9.510641e-21	0.000000e+00	-1.323747e-05	-1.325700e-05	-1.349326e-05	-1.351408e-05	-1.323747e-05	-9.436896e-21	-4.851308e-04	-2.673073e-05	-2.081572e-08	-1.952300e-08	1.325700e-05	4.851308e-04	-4.849373e-04
1.000000000000000e-01	4.999000e+00	5.000000e+00	1.440000e+01	1.043632e-01	4.866904e+00	1.043632e-01	4.865066e+00	-1.440000e-16	1.440000e-18	1.043632e-20	1.000000e-01	-1.320958e-05	-1.322928e-05	-1.349344e-05	-1.351407e-05	-1.000132e-01	-1.040834e-20	-4.851308e-04	-1.000267e-01	-2.063404e-08	-1.970474e-08	1.322928e-05	4.851308e-04	-4.850096e-04
2.000000000000000e-01	4.998000e+00	5.000000e+00	1.440000e+01	1.167369e-01	4.866267e+00	1.167369e-01	4.865064e+00	-1.440000e-16	1.440000e-18	1.167369e-20	2.000000e-01	-1.317327e-05	-1.319314e-05	-1.349359e-05	-1.351407e-05	-2.000132e-01	-1.165734e-20	-4.851308e-04	-2.000267e-01	-2.047350e-08	-1.986535e-08	1.319314e-05	4.851308e-04	-4.850735e-04
3.000000000000000e-01	4.997000e+00	5.000000e+00	1.440000e+01	1.339903e-01	4.865762e+00	1.339903e-01	4.865063e+00	-1.440000e-16	1.440000e-18	1.339903e-20	3.000000e-01	-1.312382e-05	-1.314381e-05	-1.349372e-05	-1.351406e-05	-3.000131e-01	-1.332268e-20	-4.851308e-04	-3.000266e-01	-2.034610e-08	-1.999280e-08	1.314381e-05	4.851308e-04	-4.851242e-04
4.000000000000000e-01	4.996000e+00	5.000000e+00	1.440000e+01	1.580255e-01	4.865439e+00	1.580255e-01	4.865062e+00	-1.440000e-16	1.440000e-18	1.580255e-20	4.000000e-01	-1.305607e-05	-1.307615e-05	-1.349380e-05	-1.351406e-05	-4.000131e-01	-1.582068e-20	-4.851308e-04	-4.000266e-01	-2.026478e-08	-2.007415e-08	1.307615e-05	4.851308e-04	-4.851565e-04
5.000000000000000e-01	4.995000e+00	5.000000e+00	1.440000e+01	1.886050e-01	4.865293e+00	1.886050e-01	4.865062e+00	-1.440000e-16	1.440000e-18	1.886050e-20	5.000000e-01	-1.297069e-05	-1.299080e-05	-1.349383e-05	-1.351406e-05	-5.000130e-01	-1.887379e-20	-4.851308e-04	-5.000265e-01	-2.022794e-08	-2.011101e-08	1.299080e-05	4.851308e-04	-4.851712e-04
6.000000000000000e-01	4.994000e+00	5.000000e+00	1.440000e+01	2.228374e-01	4.865245e+00	2.228374e-01	4.865062e+00	-1.440000e-16	1.440000e-18	2.228374e-20	6.000000e-01	-1.287545e-05	-1.289558e-05	-1.349384e-05	-1.351406e-05	-6.000129e-01	-2.220446e-20	-4.851308e-04	-6.000264e-01	-2.021592e-08	-2.012303e-08	1.289558e-05	4.851308e-04	-4.851759e-04
7.000000000000000e-01	4.993000e+00	5.000000e+00	1.440000e+01	2.583489e-01	4.865232e+00	2.583489e-01	4.865062e+00	-1.440000e-16	1.440000e-18	2.583489e-20	7.000000e-01	-1.277677e-05	-1.279690e-05	-1.349385e-05	-1.351406e-05	-7.000128e-01	-2.609024e-20	-4.851308e-04	-7.000263e-01	-2.021260e-08	-2.012635e-08	1.279690e-05	4.851308e-04	-4.851772e-04
7.999999999999999e-01	4.992000e+00	5.000000e+00	1.440000e+01	2.942145e-01	4.865229e+00	2.942145e-01	4.865061e+00	-1.440000e-16	1.440000e-18	2.942146e-20	8.000000e-01	-1.267713e-05	-1.269726e-05	-1.349385e-05	-1.351406e-05	-8.000126e-01	-2.942091e-20	-4.851308e-04	-8.000262e-01	-2.021169e-08	-2.012726e-08	1.269726e-05	4.851308e-04	-4.851775e-04
8.999999999999999e-01	4.991000e+00	5.000000e+00	1.440000e+01	3.301709e-01	4.865227e+00	3.301709e-01	4.865061e+00	-1.440000e-16	1.440000e-18	3.301709e-20	9.000000e-01	-1.257725e-05	-1.259738e-05	-1.349385e-05	-1.351406e-05	-9.000126e-01	-3.275158e-20	-4.851308e-04	-9.000261e-01	-2.021140e-08	-2.012756e-08	1.259738e-05	4.851308e-04	-4.851776e-04
