i_load	V(v1)	V(v2)	V(vout_m)	V(n001)	V(n002)	V(n003)	I(C1)	I(C2)	I(C_adc)	I(Im1)	I(R1)	I(R2)	I(R3)	I(R4)	I(R_adc)	I(Rm)	I(V1)	Ix(U1:In+)	Ix(U1:In-)	Ix(U1:OUT)	Ix(U1:V+)	Ix(U1:V-)
0.000000000000000e+00	1.440000e+01	1.440000e+01	9.929892e-02	1.414929e+01	9.929892e-02	1.414756e+01	-1.440000e-16	1.440000e-18	9.929893e-21	0.000000e+00	-2.507047e-05	-2.508928e-05	-2.524385e-05	-2.526350e-05	-9.853229e-21	-2.507047e-05	-5.354451e-04	-1.965687e-08	-1.880720e-08	2.508928e-05	4.851308e-04	-4.845092e-04
1.000000000000000e-01	1.439900e+01	1.440000e+01	1.111559e-01	1.414852e+01	1.111559e-01	1.414756e+01	-1.440000e-16	1.440000e-18	1.111559e-20	1.000000e-01	-2.504773e-05	-2.506673e-05	-2.524403e-05	-2.526350e-05	-1.110223e-20	-1.000251e-01	-1.005354e-01	-1.946804e-08	-1.899610e-08	2.506673e-05	4.851308e-04	-4.845844e-04
2.000000000000000e-01	1.439800e+01	1.440000e+01	1.291334e-01	1.414786e+01	1.291334e-01	1.414756e+01	-1.440000e-16	1.440000e-18	1.291334e-20	2.000000e-01	-2.501428e-05	-2.503343e-05	-2.524419e-05	-2.526350e-05	-1.276757e-20	-2.000250e-01	-2.005354e-01	-1.930537e-08	-1.915885e-08	2.503343e-05	4.851308e-04	-4.846491e-04
3.000000000000000e-01	1.439700e+01	1.440000e+01	1.591255e-01	1.414740e+01	1.591255e-01	1.414756e+01	-1.440000e-16	1.440000e-18	1.591255e-20	3.000000e-01	-2.495979e-05	-2.497906e-05	-2.524430e-05	-2.526349e-05	-1.582068e-20	-3.000250e-01	-3.005353e-01	-1.919409e-08	-1.927017e-08	2.497906e-05	4.851308e-04	-4.846934e-04
4.000000000000000e-01	1.439600e+01	1.440000e+01	2.052211e-01	1.414723e+01	2.052211e-01	1.414756e+01	-1.440000e-16	1.440000e-18	2.052211e-20	4.000000e-01	-2.487713e-05	-2.489644e-05	-2.524434e-05	-2.526349e-05	-2.053913e-20	-4.000249e-01	-4.005353e-01	-1.915171e-08	-1.931256e-08	2.489644e-05	4.851308e-04	-4.847102e-04
5.000000000000000e-01	1.439500e+01	1.440000e+01	2.594364e-01	1.414720e+01	2.594364e-01	1.414756e+01	-1.440000e-16	1.440000e-18	2.594364e-20	5.000000e-01	-2.478025e-05	-2.479957e-05	-2.524435e-05	-2.526349e-05	-2.609024e-20	-5.000248e-01	-5.005351e-01	-1.914408e-08	-1.932020e-08	2.479957e-05	4.851308e-04	-4.847132e-04
6.000000000000000e-01	1.439400e+01	1.440000e+01	3.151864e-01	1.414719e+01	3.151864e-01	1.414756e+01	-1.440000e-16	1.440000e-18	3.151863e-20	6.000000e-01	-2.468069e-05	-2.470001e-05	-2.524435e-05	-2.526349e-05	-3.164135e-20	-6.000247e-01	-6.005350e-01	-1.914301e-08	-1.932127e-08	2.470001e-05	4.851308e-04	-4.847136e-04
7.000000000000000e-01	1.439300e+01	1.440000e+01	3.711282e-01	1.414719e+01	3.711282e-01	1.414756e+01	-1.440000e-16	1.440000e-18	3.711282e-20	7.000000e-01	-2.458079e-05	-2.460011e-05	-2.524435e-05	-2.526349e-05	-3.719247e-20	-7.000246e-01	-7.005349e-01	-1.914276e-08	-1.932152e-08	2.460011e-05	4.851308e-04	-4.847136e-04
7.999999999999999e-01	1.439200e+01	1.440000e+01	4.270923e-01	1.414719e+01	4.270923e-01	1.414756e+01	-1.440000e-16	1.440000e-18	4.270923e-20	8.000000e-01	-2.448085e-05	-2.450018e-05	-2.524435e-05	-2.526349e-05	-4.274359e-20	-8.000245e-01	-8.005348e-01	-1.914261e-08	-1.932167e-08	2.450018e-05	4.851308e-04	-4.847136e-04
8.999999999999999e-01	1.439100e+01	1.440000e+01	4.830589e-01	1.414719e+01	4.830589e-01	1.414756e+01	-1.440000e-16	1.440000e-18	4.830589e-20	9.000000e-01	-2.438091e-05	-2.440023e-05	-2.524435e-05	-2.526349e-05	-4.829470e-20	-9.000244e-01	-9.005347e-01	-1.914247e-08	-1.932182e-08	2.440023e-05	4.851308e-04	-4.847136e-04
9.999999999999999e-01	1.439000e+01	1.440000e+01	5.390259e-01	1.414719e+01	5.390259e-01	1.414756e+01	-1.440000e-16	1.440000e-18	5.390259e-20	1.000000e+00	-2.428097e-05	-2.430029e-05	-2.524435e-05	-2.526349e-05	-5.440093e-20	-1.000024e+00	-1.000535e+00	-1.914233e-08	-1.932196e-08	2.430029e-05	4.851308e-04	-4.847136e-04
1.100000000000000e+00	1.438900e+01	1.440000e+01	5.949929e-01	1.414719e+01	5.949929e-01	1.414756e+01	-1.440000e-16	1.440000e-18	5.949929e-20	1.100000e+00	-2.418103e-05	-2.420035e-05	-2.524435e-05	-2.526349e-05	-5.995204e-20	-1.100024e+00	-1.100535e+00	-1.914218e-08	-1.932210e-08	2.420035e-05	4.851308e-04	-4.847136e-04
1.200000000000000e+00	1.438800e+01	1.440000e+01	6.509599e-01	1.414719e+01	6.509599e-01	1.414756e+01	-1.440000e-16	1.440000e-18	6.509599e-20	1.200000e+00	-2.408109e-05	-2.410041e-05	-2.524435e-05	-2.526349e-05	-6.550316e-20	-1.200024e+00	-1.200534e+00	-1.914204e-08	-1.932224e-08	2.410041e-05	4.851308e-04	-4.847136e-04
1.300000000000000e+00	1.438700e+01	1.440000e+01	7.069269e-01	1.414719e+01	7.069269e-01	1.414756e+01	-1.440000e-16	1.440000e-18	7.069269e-20	1.300000e+00	-2.398115e-05	-2.400047e-05	-2.524435e-05	-2.526349e-05	-7.105427e-20	-1.300024e+00	-1.300534e+00	-1.914190e-08	-1.932238e-08	2.400047e-05	4.851308e-04	-4.847136e-04
1.400000000000000e+00	1.438600e+01	1.440000e+01	7.628939e-01	1.414719e+01	7.628939e-01	1.414756e+01	-1.440000e-16	1.440000e-18	7.628939e-20	1.400000e+00	-2.388120e-05	-2.390052e-05	-2.524435e-05	-2.526349e-05	-7.660539e-20	-1.400024e+00	-1.400534e+00	-1.914176e-08	-1.932252e-08	2.390052e-05	4.851308e-04	-4.847136e-04
1.500000000000000e+00	1.438500e+01	1.440000e+01	8.188609e-01	1.414719e+01	8.188609e-01	1.414756e+01	-1.440000e-16	1.440000e-18	8.188609e-20	1.500000e+00	-2.378126e-05	-2.380058e-05	-2.524435e-05	-2.526349e-05	-8.215650e-20	-1.500024e+00	-1.500534e+00	-1.914162e-08	-1.932266e-08	2.380058e-05	4.851308e-04	-4.847136e-04
1.600000000000000e+00	1.438400e+01	1.440000e+01	8.748279e-01	1.414719e+01	8.748279e-01	1.414756e+01	-1.440000e-16	1.440000e-18	8.748279e-20	1.600000e+00	-2.368132e-05	-2.370064e-05	-2.524435e-05	-2.526349e-05	-8.770762e-20	-1.600024e+00	-1.600534e+00	-1.914148e-08	-1.932280e-08	2.370064e-05	4.851308e-04	-4.847136e-04
1.700000000000000e+00	1.438300e+01	1.440000e+01	9.307949e-01	1.414719e+01	9.307949e-01	1.414756e+01	-1.440000e-16	1.440000e-18	9.307949e-20	1.700000e+00	-2.358137e-05	-2.360070e-05	-2.524435e-05	-2.526349e-05	-9.325873e-20	-1.700024e+00	-1.700534e+00	-1.914134e-08	-1.932294e-08	2.360070e-05	4.851308e-04	-4.847136e-04
1.800000000000000e+00	1.438200e+01	1.440000e+01	9.867619e-01	1.414719e+01	9.867619e-01	1.414756e+01	-1.440000e-16	1.440000e-18	9.867619e-20	1.800000e+00	-2.348143e-05	-2.350076e-05	-2.524435e-05	-2.526349e-05	-9.880985e-20	-1.800023e+00	-1.800534e+00	-1.914120e-08	-1.932308e-08	2.350076e-05	4.851308e-04	-4.847136e-04
1.900000000000001e+00	1.438100e+01	1.440000e+01	1.042729e+00	1.414719e+01	1.042729e+00	1.414756e+01	-1.440000e-16	1.440000e-18	1.042729e-19	1.900000e+00	-2.338149e-05	-2.340081e-05	-2.524435e-05	-2.526349e-05	-1.043610e-19	-1.900023e+00	-1.900534e+00	-1.914106e-08	-1.932323e-08	2.340081e-05	4.851308e-04	-4.847136e-04
2.000000000000000e+00	1.438000e+01	1.440000e+01	1.098696e+00	1.414718e+01	1.098696e+00	1.414756e+01	-1.440000e-16	1.440000e-18	1.098696e-19	2.000000e+00	-2.328155e-05	-2.330087e-05	-2.524435e-05	-2.526349e-05	-1.088019e-19	-2.000023e+00	-2.000534e+00	-1.914091e-08	-1.932337e-08	2.330087e-05	4.851308e-04	-4.847136e-04
