v_supply	V(v_batteries)	V(vout_reg)	V(n001)	V(n002)	V(n003)	I(C1)	I(C2)	I(C_adc1)	I(R1)	I(R2)	I(R3)	I(V1)	I(V_regulator)	Ix(U1:In+)	Ix(U1:In-)	Ix(U1:OUT)	Ix(U1:V+)	Ix(U1:V-)
0.000000000000000e+00	1.440000e+01	6.573150e-03	3.023649e-02	6.573150e-03	0.000000e+00	1.440000e-18	-1.440000e-16	6.573151e-22	-6.573151e-07	-6.573151e-07	-6.591949e-22	-4.851308e-04	2.818727e-08	-2.818727e-08	-1.313159e-08	-6.441834e-07	4.851308e-04	-4.824696e-04
1.000000000000000e-01	1.440000e+01	2.222084e-02	1.022159e-01	2.222084e-02	1.000000e-01	1.440000e-18	-1.440000e-16	2.222084e-21	-2.222084e-06	-2.222084e-06	-2.220446e-21	-4.851308e-04	2.121908e-08	-2.121908e-08	-2.008209e-08	-2.202003e-06	4.851308e-04	-4.852332e-04
2.000000000000000e-01	1.440000e+01	4.357857e-02	2.004614e-01	4.357857e-02	2.000000e-01	1.440000e-18	-1.440000e-16	4.357857e-21	-4.357857e-06	-4.357857e-06	-4.371503e-21	-4.851308e-04	2.075891e-08	-2.075891e-08	-2.052219e-08	-4.337335e-06	4.851308e-04	-4.854067e-04
3.000000000000000e-01	1.440000e+01	6.530778e-02	3.004158e-01	6.530778e-02	3.000000e-01	1.440000e-18	-1.440000e-16	6.530778e-21	-6.530778e-06	-6.530778e-06	-6.522560e-21	-4.851308e-04	2.073709e-08	-2.073709e-08	-2.052383e-08	-6.510254e-06	4.851308e-04	-4.854057e-04
4.000000000000000e-01	1.440000e+01	8.704537e-02	4.004087e-01	8.704537e-02	4.000000e-01	1.440000e-18	-1.440000e-16	8.704537e-21	-8.704536e-06	-8.704536e-06	-8.743007e-21	-4.851308e-04	2.072511e-08	-2.072517e-08	-2.051560e-08	-8.684021e-06	4.851308e-04	-4.854008e-04
5.000000000000000e-01	1.440000e+01	1.087831e-01	5.004023e-01	1.087831e-01	5.000000e-01	1.440000e-18	-1.440000e-16	1.087831e-20	-1.087831e-05	-1.087831e-05	-1.082467e-20	-4.851308e-04	2.071335e-08	-2.071335e-08	-2.050717e-08	-1.085780e-05	4.851308e-04	-4.853958e-04
6.000000000000000e-01	1.440000e+01	1.305209e-01	6.003959e-01	1.305209e-01	6.000000e-01	1.440000e-18	-1.440000e-16	1.305208e-20	-1.305208e-05	-1.305208e-05	-1.304512e-20	-4.851308e-04	2.070158e-08	-2.070159e-08	-2.049874e-08	-1.303159e-05	4.851308e-04	-4.853908e-04
7.000000000000000e-01	1.440000e+01	1.522586e-01	7.003895e-01	1.522586e-01	7.000000e-01	1.440000e-18	-1.440000e-16	1.522586e-20	-1.522586e-05	-1.522586e-05	-1.526557e-20	-4.851308e-04	2.068982e-08	-2.068983e-08	-2.049031e-08	-1.520537e-05	4.851308e-04	-4.853858e-04
7.999999999999999e-01	1.440000e+01	1.739963e-01	8.003831e-01	1.739963e-01	8.000000e-01	1.440000e-18	-1.440000e-16	1.739963e-20	-1.739963e-05	-1.739963e-05	-1.748601e-20	-4.851308e-04	2.067806e-08	-2.067806e-08	-2.048187e-08	-1.737915e-05	4.851308e-04	-4.853808e-04
8.999999999999999e-01	1.440000e+01	1.957342e-01	9.003775e-01	1.957342e-01	9.000000e-01	1.440000e-18	-1.440000e-16	1.957342e-20	-1.957342e-05	-1.957342e-05	-1.942890e-20	-4.851308e-04	2.066629e-08	-2.066690e-08	-2.047344e-08	-1.955295e-05	4.851308e-04	-4.853758e-04
9.999999999999999e-01	1.440000e+01	2.174718e-01	1.000370e+00	2.174718e-01	1.000000e+00	1.440000e-18	-1.440000e-16	2.174718e-20	-2.174718e-05	-2.174718e-05	-2.164935e-20	-4.851308e-04	2.065453e-08	-2.065458e-08	-2.046505e-08	-2.172672e-05	4.851308e-04	-4.853708e-04
1.100000000000000e+00	1.440000e+01	2.392095e-01	1.100364e+00	2.392095e-01	1.100000e+00	1.440000e-18	-1.440000e-16	2.392096e-20	-2.392095e-05	-2.392095e-05	-2.386979e-20	-4.851308e-04	2.064277e-08	-2.064281e-08	-2.045662e-08	-2.390050e-05	4.851308e-04	-4.853658e-04
1.200000000000000e+00	1.440000e+01	2.609473e-01	1.200358e+00	2.609473e-01	1.200000e+00	1.440000e-18	-1.440000e-16	2.609473e-20	-2.609473e-05	-2.609473e-05	-2.609024e-20	-4.851308e-04	2.063100e-08	-2.063105e-08	-2.044814e-08	-2.607428e-05	4.851308e-04	-4.853608e-04
1.300000000000000e+00	1.440000e+01	2.826851e-01	1.300351e+00	2.826851e-01	1.300000e+00	1.440000e-18	-1.440000e-16	2.826851e-20	-2.826851e-05	-2.826851e-05	-2.831069e-20	-4.851308e-04	2.061924e-08	-2.061939e-08	-2.043971e-08	-2.824807e-05	4.851308e-04	-4.853558e-04
1.400000000000000e+00	1.440000e+01	3.044304e-01	1.400380e+00	3.044304e-01	1.400000e+00	1.440000e-18	-1.440000e-16	3.044304e-20	-3.044304e-05	-3.044304e-05	-3.053113e-20	-4.851308e-04	2.060747e-08	-2.064490e-08	-2.044065e-08	-3.042261e-05	4.851308e-04	-4.853508e-04
1.500000000000000e+00	1.440000e+01	3.261605e-01	1.500338e+00	3.261605e-01	1.500000e+00	1.440000e-18	-1.440000e-16	3.261605e-20	-3.261605e-05	-3.261605e-05	-3.275158e-20	-4.851308e-04	2.059571e-08	-2.059575e-08	-2.042285e-08	-3.259563e-05	4.851308e-04	-4.853458e-04
1.600000000000000e+00	1.440000e+01	3.478982e-01	1.600332e+00	3.478982e-01	1.600000e+00	1.440000e-18	-1.440000e-16	3.478982e-20	-3.478982e-05	-3.478982e-05	-3.497203e-20	-4.851308e-04	2.058395e-08	-2.058395e-08	-2.041441e-08	-3.476941e-05	4.851308e-04	-4.853408e-04
1.700000000000000e+00	1.440000e+01	3.696366e-01	1.700328e+00	3.696366e-01	1.700000e+00	1.440000e-18	-1.440000e-16	3.696366e-20	-3.696365e-05	-3.696365e-05	-3.719247e-20	-4.851308e-04	2.057219e-08	-2.057434e-08	-2.040598e-08	-3.694325e-05	4.851308e-04	-4.853358e-04
1.800000000000000e+00	1.440000e+01	3.913737e-01	1.800319e+00	3.913737e-01	1.800000e+00	1.440000e-18	-1.440000e-16	3.913737e-20	-3.913737e-05	-3.913737e-05	-3.885780e-20	-4.851308e-04	2.056042e-08	-2.056042e-08	-2.039755e-08	-3.911697e-05	4.851308e-04	-4.853308e-04
1.900000000000001e+00	1.440000e+01	4.131099e-01	1.900305e+00	4.131099e-01	1.900000e+00	1.440000e-18	-1.440000e-16	4.131099e-20	-4.131098e-05	-4.131098e-05	-4.107825e-20	-4.851308e-04	2.054866e-08	-2.055723e-08	-2.040337e-08	-4.129060e-05	4.851308e-04	-4.853258e-04
2.000000000000000e+00	1.440000e+01	4.348491e-01	2.000306e+00	4.348491e-01	2.000000e+00	1.440000e-18	-1.440000e-16	4.348491e-20	-4.348491e-05	-4.348491e-05	-4.329870e-20	-4.851308e-04	2.053690e-08	-2.053690e-08	-2.038080e-08	-4.346453e-05	4.851308e-04	-4.853208e-04
2.100000000000001e+00	1.440000e+01	4.565869e-01	2.100300e+00	4.565869e-01	2.100000e+00	1.440000e-18	-1.440000e-16	4.565869e-20	-4.565869e-05	-4.565869e-05	-4.551914e-20	-4.851308e-04	2.052514e-08	-2.052514e-08	-2.037225e-08	-4.563832e-05	4.851308e-04	-4.853158e-04
2.200000000000001e+00	1.440000e+01	4.783247e-01	2.200293e+00	4.783247e-01	2.200000e+00	1.440000e-18	-1.440000e-16	4.783247e-20	-4.783247e-05	-4.783247e-05	-4.773959e-20	-4.851308e-04	2.051337e-08	-2.051338e-08	-2.036382e-08	-4.781210e-05	4.851308e-04	-4.853108e-04
2.300000000000001e+00	1.440000e+01	5.000623e-01	2.300287e+00	5.000623e-01	2.300000e+00	1.440000e-18	-1.440000e-16	5.000624e-20	-5.000624e-05	-5.000624e-05	-4.996004e-20	-4.851308e-04	2.050161e-08	-2.050161e-08	-2.035538e-08	-4.998588e-05	4.851308e-04	-4.853058e-04
2.400000000000001e+00	1.440000e+01	5.218001e-01	2.400280e+00	5.218001e-01	2.400000e+00	1.440000e-18	-1.440000e-16	5.218001e-20	-5.218001e-05	-5.218001e-05	-5.218048e-20	-4.851308e-04	2.048985e-08	-2.048985e-08	-2.034695e-08	-5.215966e-05	4.851308e-04	-4.853008e-04
2.500000000000001e+00	1.440000e+01	5.435379e-01	2.500274e+00	5.435379e-01	2.500000e+00	1.440000e-18	-1.440000e-16	5.435379e-20	-5.435378e-05	-5.435378e-05	-5.440093e-20	-4.851308e-04	2.047808e-08	-2.047813e-08	-2.033852e-08	-5.433345e-05	4.851308e-04	-4.852958e-04
2.600000000000001e+00	1.440000e+01	5.652755e-01	2.600267e+00	5.652755e-01	2.600000e+00	1.440000e-18	-1.440000e-16	5.652755e-20	-5.652755e-05	-5.652755e-05	-5.662137e-20	-4.851308e-04	2.046632e-08	-2.046641e-08	-2.033019e-08	-5.650723e-05	4.851308e-04	-4.852908e-04
2.700000000000001e+00	1.440000e+01	5.870133e-01	2.700261e+00	5.870133e-01	2.700000e+00	1.440000e-18	-1.440000e-16	5.870132e-20	-5.870133e-05	-5.870133e-05	-5.884182e-20	-4.851308e-04	2.045456e-08	-2.045464e-08	-2.032176e-08	-5.868101e-05	4.851308e-04	-4.852859e-04
2.800000000000001e+00	1.440000e+01	6.087510e-01	2.800255e+00	6.087510e-01	2.800000e+00	1.440000e-18	-1.440000e-16	6.087510e-20	-6.087510e-05	-6.087510e-05	-6.106227e-20	-4.851308e-04	2.044279e-08	-2.044279e-08	-2.031322e-08	-6.085479e-05	4.851308e-04	-4.852808e-04
2.900000000000001e+00	1.440000e+01	6.304888e-01	2.900248e+00	6.304888e-01	2.900000e+00	1.440000e-18	-1.440000e-16	6.304888e-20	-6.304887e-05	-6.304887e-05	-6.328271e-20	-4.851308e-04	2.043103e-08	-2.043103e-08	-2.030479e-08	-6.302856e-05	4.851308e-04	-4.852758e-04
3.000000000000001e+00	1.440000e+01	6.522264e-01	3.000242e+00	6.522264e-01	3.000000e+00	1.440000e-18	-1.440000e-16	6.522265e-20	-6.522264e-05	-6.522264e-05	-6.550316e-20	-4.851308e-04	2.041927e-08	-2.041927e-08	-2.029635e-08	-6.520235e-05	4.851308e-04	-4.852708e-04
3.100000000000001e+00	1.440000e+01	6.739638e-01	3.100234e+00	6.739638e-01	3.100000e+00	1.440000e-18	-1.440000e-16	6.739639e-20	-6.739639e-05	-6.739639e-05	-6.772360e-20	-4.851308e-04	2.040750e-08	-2.040750e-08	-2.028905e-08	-6.737610e-05	4.851308e-04	-4.852659e-04
3.200000000000002e+00	1.440000e+01	6.957019e-01	3.200229e+00	6.957019e-01	3.200000e+00	1.440000e-18	-1.440000e-16	6.957019e-20	-6.957019e-05	-6.957019e-05	-6.994405e-20	-4.851308e-04	2.039574e-08	-2.039574e-08	-2.027949e-08	-6.954991e-05	4.851308e-04	-4.852609e-04
3.300000000000002e+00	1.440000e+01	7.174399e-01	3.300224e+00	7.174399e-01	3.300000e+00	1.440000e-18	-1.440000e-16	7.174399e-20	-7.174399e-05	-7.174399e-05	-7.216450e-20	-4.851308e-04	2.038398e-08	-2.038498e-08	-2.027106e-08	-7.172372e-05	4.851308e-04	-4.852558e-04
3.400000000000002e+00	1.440000e+01	7.391773e-01	3.400216e+00	7.391773e-01	3.400000e+00	1.440000e-18	-1.440000e-16	7.391773e-20	-7.391773e-05	-7.391773e-05	-7.438494e-20	-4.851308e-04	2.037221e-08	-2.037221e-08	-2.026262e-08	-7.389747e-05	4.851308e-04	-4.852508e-04
3.500000000000002e+00	1.440000e+01	7.609150e-01	3.500209e+00	7.609150e-01	3.500000e+00	1.440000e-18	-1.440000e-16	7.609150e-20	-7.609151e-05	-7.609151e-05	-7.549517e-20	-4.851308e-04	2.036045e-08	-2.036045e-08	-2.025419e-08	-7.607125e-05	4.851308e-04	-4.852459e-04
