v_supply	V(v_batteries)	V(vout_batt)	V(n001)	V(n002)	I(C1)	I(C2)	I(C_adc)	I(R1)	I(R2)	I(R_adc)	I(V1)	Ix(U1:In+)	Ix(U1:In-)	Ix(U1:OUT)	Ix(U1:V+)	Ix(U1:V-)
0.000000000000000e+00	0.000000e+00	-6.221434e-11	-8.087865e-10	-6.221434e-11	0.000000e+00	0.000000e+00	-6.221435e-30	6.221435e-15	6.221435e-15	6.203854e-30	-3.450074e-04	9.957984e-13	9.957984e-13	-9.895769e-13	3.450074e-04	3.337103e+11
1.000000000000000e-01	1.000000e-01	3.859556e-03	5.017423e-02	3.859556e-03	-1.000000e-18	1.000000e-20	3.859556e-22	-3.859556e-07	-3.859556e-07	-3.859760e-22	-3.863363e-04	1.215418e-12	9.965342e-13	-3.859566e-07	3.863363e-04	2.337103e+11
2.000000000000000e-01	2.000000e-01	7.740139e-03	1.006218e-01	7.740139e-03	-2.000000e-18	2.000000e-20	7.740139e-22	-7.740139e-07	-7.740139e-07	-7.719520e-22	-4.144480e-04	1.415867e-12	9.983056e-13	-7.740149e-07	4.144480e-04	1.337102e+11
3.000000000000000e-01	3.000000e-01	1.176886e-02	1.529952e-01	1.176886e-02	-3.000000e-18	3.000000e-20	1.176886e-21	-1.176886e-06	-1.176886e-06	-1.179612e-21	-4.293064e-04	1.615914e-12	1.007793e-12	-1.176887e-06	4.293064e-04	3.371025e+10
4.000000000000000e-01	4.000000e-01	1.831106e-02	2.380438e-01	1.831106e-02	-4.000000e-18	4.000000e-20	1.831106e-21	-1.831106e-06	-1.831106e-06	-1.838807e-21	-4.326784e-04	1.815953e-12	1.148010e-12	-1.831108e-06	4.326784e-04	7.334257e+08
5.000000000000000e-01	5.000000e-01	2.365394e-02	3.075012e-01	2.365394e-02	-5.000000e-18	5.000000e-20	2.365394e-21	-2.365394e-06	-2.365394e-06	-2.359224e-21	-4.348856e-04	2.015991e-12	1.225814e-12	-2.365395e-06	4.348856e-04	1.535576e+07
6.000000000000000e-01	6.000000e-01	2.420826e-02	3.147074e-01	2.420826e-02	-6.000000e-18	6.000000e-20	2.420826e-21	-2.420826e-06	-2.420826e-06	-2.428613e-21	-4.366139e-04	2.216030e-12	1.054628e-12	-2.420827e-06	4.366139e-04	3.215042e+05
7.000000000000000e-01	7.000000e-01	2.476321e-02	3.219218e-01	2.476321e-02	-7.000000e-18	7.000000e-20	2.476321e-21	-2.476321e-06	-2.476321e-06	-2.463307e-21	-4.383422e-04	2.416068e-12	8.834858e-13	-2.476322e-06	4.383422e-04	6.731346e+03
7.999999999999999e-01	8.000000e-01	6.045398e-02	7.859018e-01	6.045398e-02	-8.000000e-18	8.000000e-20	6.045398e-21	-6.045399e-06	-6.045399e-06	-6.036838e-21	-4.356741e-04	2.616108e-12	2.551002e-12	-6.045401e-06	4.356741e-04	1.409355e+02
8.999999999999999e-01	9.000000e-01	6.819773e-02	8.865705e-01	6.819773e-02	-9.000000e-18	9.000000e-20	6.819773e-21	-6.819773e-06	-6.819773e-06	-6.800116e-21	-4.376142e-04	2.816146e-12	2.753981e-12	-6.819776e-06	4.376142e-04	2.951551e+00
