i_load	V(v1)	V(v2)	V(v_batteries)	V(vout_5v)	V(n001)	V(n002)	V(n003)	I(C1)	I(C2)	I(C_adc)	I(Im1)	I(R1)	I(R2)	I(R3)	I(R4)	I(R5v)	I(R_adc)	I(V1)	I(V_regulator)	Ix(U1:In+)	Ix(U1:In-)	Ix(U1:OUT)	Ix(U1:V+)	Ix(U1:V-)
0.000000000000000e+00	5.000000e+00	5.000000e+00	1.440000e+01	4.313094e-02	4.866031e+00	4.313094e-02	4.864865e+00	-1.440000e-16	1.440000e-18	4.313094e-21	0.000000e+00	-1.339694e-05	-1.339694e-05	-1.351351e-05	-1.351351e-05	-1.339694e-05	-4.302114e-21	-6.627635e-04	-2.691044e-05	-8.340115e-12	-8.340073e-12	1.339694e-05	6.627635e-04	-6.762632e-04
2.000000000000000e-01	4.998000e+00	5.000000e+00	1.440000e+01	1.148526e-01	4.866023e+00	1.148526e-01	4.864865e+00	-1.440000e-16	1.440000e-18	1.148526e-20	2.000000e-01	-1.319769e-05	-1.319770e-05	-1.351351e-05	-1.351351e-05	-2.000132e-01	-1.151856e-20	-6.649035e-04	-2.000267e-01	-8.340115e-12	-8.340103e-12	1.319770e-05	6.649035e-04	-6.782017e-04
4.000000000000000e-01	4.996000e+00	5.000000e+00	1.440000e+01	1.868199e-01	4.866022e+00	1.868199e-01	4.864865e+00	-1.440000e-16	1.440000e-18	1.868199e-20	4.000000e-01	-1.299778e-05	-1.299778e-05	-1.351351e-05	-1.351351e-05	-4.000130e-01	-1.859624e-20	-6.651547e-04	-4.000265e-01	-8.340115e-12	-8.340106e-12	1.299778e-05	6.651547e-04	-6.782527e-04
6.000000000000001e-01	4.994000e+00	5.000000e+00	1.440000e+01	2.588195e-01	4.866022e+00	2.588195e-01	4.864865e+00	-1.440000e-16	1.440000e-18	2.588194e-20	6.000000e-01	-1.279778e-05	-1.279779e-05	-1.351351e-05	-1.351351e-05	-6.000128e-01	-2.609024e-20	-6.651576e-04	-6.000263e-01	-8.340115e-12	-8.340106e-12	1.279779e-05	6.651576e-04	-6.780555e-04
8.000000000000000e-01	4.992000e+00	5.000000e+00	1.440000e+01	3.308192e-01	4.866022e+00	3.308192e-01	4.864865e+00	-1.440000e-16	1.440000e-18	3.308192e-20	8.000000e-01	-1.259778e-05	-1.259779e-05	-1.351351e-05	-1.351351e-05	-8.000126e-01	-3.330669e-20	-6.651594e-04	-8.000261e-01	-8.340115e-12	-8.340106e-12	1.259779e-05	6.651594e-04	-6.778573e-04
1.000000000000000e+00	4.990000e+00	5.000000e+00	1.440000e+01	4.028188e-01	4.866022e+00	4.028188e-01	4.864865e+00	-1.440000e-16	1.440000e-18	4.028188e-20	1.000000e+00	-1.239778e-05	-1.239779e-05	-1.351351e-05	-1.351351e-05	-1.000012e+00	-4.052314e-20	-6.651612e-04	-1.000026e+00	-8.340115e-12	-8.340106e-12	1.239779e-05	6.651612e-04	-6.776592e-04
1.200000000000000e+00	4.988000e+00	5.000000e+00	1.440000e+01	4.748185e-01	4.866022e+00	4.748185e-01	4.864865e+00	-1.440000e-16	1.440000e-18	4.748185e-20	1.200000e+00	-1.219778e-05	-1.219779e-05	-1.351351e-05	-1.351351e-05	-1.200012e+00	-4.718448e-20	-6.651630e-04	-1.200026e+00	-8.340115e-12	-8.340106e-12	1.219779e-05	6.651630e-04	-6.774610e-04
1.400000000000000e+00	4.986000e+00	5.000000e+00	1.440000e+01	5.468182e-01	4.866022e+00	5.468182e-01	4.864865e+00	-1.440000e-16	1.440000e-18	5.468182e-20	1.400000e+00	-1.199778e-05	-1.199779e-05	-1.351351e-05	-1.351351e-05	-1.400012e+00	-5.440093e-20	-6.651649e-04	-1.400025e+00	-8.340115e-12	-8.340106e-12	1.199779e-05	6.651649e-04	-6.772628e-04
1.600000000000000e+00	4.984000e+00	5.000000e+00	1.440000e+01	6.188179e-01	4.866022e+00	6.188179e-01	4.864865e+00	-1.440000e-16	1.440000e-18	6.188179e-20	1.600000e+00	-1.179778e-05	-1.179779e-05	-1.351351e-05	-1.351351e-05	-1.600012e+00	-6.217249e-20	-6.651668e-04	-1.600025e+00	-8.340115e-12	-8.340106e-12	1.179779e-05	6.651668e-04	-6.770647e-04
1.800000000000000e+00	4.982000e+00	5.000000e+00	1.440000e+01	6.908176e-01	4.866022e+00	6.908176e-01	4.864865e+00	-1.440000e-16	1.440000e-18	6.908176e-20	1.800000e+00	-1.159778e-05	-1.159779e-05	-1.351351e-05	-1.351351e-05	-1.800012e+00	-6.883383e-20	-6.651693e-04	-1.800025e+00	-8.340115e-12	-8.340106e-12	1.159779e-05	6.651693e-04	-6.768673e-04
