i_load	V(v1)	V(v2)	V(vout_m)	V(n001)	V(n002)	V(n003)	I(C1)	I(C2)	I(C_adc)	I(Im1)	I(R1)	I(R2)	I(R3)	I(R4)	I(R_adc)	I(Rm)	I(V1)	Ix(U1:In+)	Ix(U1:In-)	Ix(U1:OUT)	Ix(U1:V+)	Ix(U1:V-)
0.000000000000000e+00	1.440000e+01	1.440000e+01	1.235724e-01	1.414954e+01	1.235724e-01	1.414737e+01	-1.440000e-16	1.440000e-18	1.235724e-20	0.000000e+00	-2.504639e-05	-2.504636e-05	-2.526319e-05	-2.526316e-05	-1.235123e-20	-2.504639e-05	-7.151105e-04	2.878994e-11	2.879394e-11	2.504636e-05	6.648009e-04	-6.899479e-04
1.000000000000000e-01	1.439900e+01	1.440000e+01	1.795259e-01	1.414954e+01	1.795259e-01	1.414737e+01	-1.440000e-16	1.440000e-18	1.795259e-20	1.000000e-01	-2.494647e-05	-2.494644e-05	-2.526319e-05	-2.526316e-05	-1.804112e-20	-1.000249e-01	-1.007152e-01	2.878994e-11	2.879394e-11	2.494644e-05	6.650331e-04	-6.900799e-04
2.000000000000000e-01	1.439800e+01	1.440000e+01	2.355225e-01	1.414954e+01	2.355225e-01	1.414737e+01	-1.440000e-16	1.440000e-18	2.355225e-20	2.000000e-01	-2.484648e-05	-2.484645e-05	-2.526319e-05	-2.526316e-05	-2.359224e-20	-2.000248e-01	-2.007152e-01	2.878994e-11	2.879394e-11	2.484645e-05	6.650501e-04	-6.899968e-04
3.000000000000000e-01	1.439700e+01	1.440000e+01	2.915223e-01	1.414954e+01	2.915223e-01	1.414737e+01	-1.440000e-16	1.440000e-18	2.915223e-20	3.000000e-01	-2.474648e-05	-2.474645e-05	-2.526319e-05	-2.526316e-05	-2.886580e-20	-3.000247e-01	-3.007151e-01	2.878994e-11	2.879394e-11	2.474645e-05	6.650510e-04	-6.898977e-04
4.000000000000000e-01	1.439600e+01	1.440000e+01	3.475220e-01	1.414954e+01	3.475220e-01	1.414737e+01	-1.440000e-16	1.440000e-18	3.475220e-20	4.000000e-01	-2.464648e-05	-2.464645e-05	-2.526319e-05	-2.526316e-05	-3.497203e-20	-4.000247e-01	-4.007150e-01	2.878994e-11	2.879394e-11	2.464645e-05	6.650519e-04	-6.897986e-04
5.000000000000000e-01	1.439500e+01	1.440000e+01	4.035218e-01	1.414954e+01	4.035218e-01	1.414737e+01	-1.440000e-16	1.440000e-18	4.035218e-20	5.000000e-01	-2.454648e-05	-2.454645e-05	-2.526319e-05	-2.526316e-05	-4.052314e-20	-5.000246e-01	-5.007148e-01	2.878994e-11	2.879394e-11	2.454645e-05	6.650527e-04	-6.896994e-04
6.000000000000000e-01	1.439400e+01	1.440000e+01	4.595216e-01	1.414954e+01	4.595216e-01	1.414737e+01	-1.440000e-16	1.440000e-18	4.595216e-20	6.000000e-01	-2.444648e-05	-2.444645e-05	-2.526319e-05	-2.526316e-05	-4.607425e-20	-6.000245e-01	-6.007147e-01	2.878994e-11	2.879394e-11	2.444645e-05	6.650536e-04	-6.896003e-04
7.000000000000000e-01	1.439300e+01	1.440000e+01	5.155213e-01	1.414954e+01	5.155213e-01	1.414737e+01	-1.440000e-16	1.440000e-18	5.155213e-20	7.000000e-01	-2.434648e-05	-2.434645e-05	-2.526319e-05	-2.526316e-05	-5.107026e-20	-7.000244e-01	-7.007146e-01	2.878994e-11	2.879394e-11	2.434645e-05	6.650544e-04	-6.895012e-04
7.999999999999999e-01	1.439200e+01	1.440000e+01	5.715211e-01	1.414954e+01	5.715211e-01	1.414737e+01	-1.440000e-16	1.440000e-18	5.715211e-20	8.000000e-01	-2.424648e-05	-2.424645e-05	-2.526319e-05	-2.526316e-05	-5.662137e-20	-8.000243e-01	-8.007146e-01	2.878994e-11	2.879394e-11	2.424645e-05	6.650553e-04	-6.894020e-04
8.999999999999999e-01	1.439100e+01	1.440000e+01	6.275209e-01	1.414954e+01	6.275209e-01	1.414737e+01	-1.440000e-16	1.440000e-18	6.275209e-20	9.000000e-01	-2.414648e-05	-2.414645e-05	-2.526319e-05	-2.526316e-05	-6.217249e-20	-9.000242e-01	-9.007145e-01	2.878994e-11	2.879394e-11	2.414645e-05	6.650562e-04	-6.893029e-04
9.999999999999999e-01	1.439000e+01	1.440000e+01	6.835207e-01	1.414954e+01	6.835207e-01	1.414737e+01	-1.440000e-16	1.440000e-18	6.835207e-20	1.000000e+00	-2.404648e-05	-2.404645e-05	-2.526319e-05	-2.526316e-05	-6.883383e-20	-1.000024e+00	-1.000714e+00	2.878994e-11	2.879394e-11	2.404645e-05	6.650570e-04	-6.892037e-04
1.100000000000000e+00	1.438900e+01	1.440000e+01	7.395204e-01	1.414954e+01	7.395204e-01	1.414737e+01	-1.440000e-16	1.440000e-18	7.395204e-20	1.100000e+00	-2.394648e-05	-2.394646e-05	-2.526319e-05	-2.526316e-05	-7.438494e-20	-1.100024e+00	-1.100714e+00	2.878994e-11	2.879394e-11	2.394646e-05	6.650579e-04	-6.891046e-04
1.200000000000000e+00	1.438800e+01	1.440000e+01	7.955202e-01	1.414954e+01	7.955202e-01	1.414737e+01	-1.440000e-16	1.440000e-18	7.955202e-20	1.200000e+00	-2.384648e-05	-2.384645e-05	-2.526319e-05	-2.526316e-05	-7.993606e-20	-1.200024e+00	-1.200714e+00	2.878994e-11	2.879394e-11	2.384645e-05	6.650588e-04	-6.890055e-04
1.300000000000000e+00	1.438700e+01	1.440000e+01	8.515199e-01	1.414954e+01	8.515199e-01	1.414737e+01	-1.440000e-16	1.440000e-18	8.515199e-20	1.300000e+00	-2.374648e-05	-2.374646e-05	-2.526319e-05	-2.526316e-05	-8.548717e-20	-1.300024e+00	-1.300714e+00	2.878994e-11	2.879394e-11	2.374646e-05	6.650597e-04	-6.889064e-04
1.400000000000000e+00	1.438600e+01	1.440000e+01	9.075198e-01	1.414954e+01	9.075198e-01	1.414737e+01	-1.440000e-16	1.440000e-18	9.075198e-20	1.400000e+00	-2.364648e-05	-2.364645e-05	-2.526319e-05	-2.526316e-05	-9.103829e-20	-1.400024e+00	-1.400714e+00	2.878994e-11	2.879394e-11	2.364645e-05	6.650605e-04	-6.888072e-04
1.500000000000000e+00	1.438500e+01	1.440000e+01	9.635195e-01	1.414954e+01	9.635195e-01	1.414737e+01	-1.440000e-16	1.440000e-18	9.635195e-20	1.500000e+00	-2.354648e-05	-2.354646e-05	-2.526319e-05	-2.526316e-05	-9.658940e-20	-1.500024e+00	-1.500714e+00	2.878994e-11	2.879394e-11	2.354646e-05	6.650614e-04	-6.887081e-04
1.600000000000000e+00	1.438400e+01	1.440000e+01	1.019519e+00	1.414954e+01	1.019519e+00	1.414737e+01	-1.440000e-16	1.440000e-18	1.019519e-19	1.600000e+00	-2.344649e-05	-2.344646e-05	-2.526319e-05	-2.526316e-05	-1.021405e-19	-1.600023e+00	-1.600714e+00	2.878994e-11	2.879394e-11	2.344646e-05	6.650623e-04	-6.886090e-04
1.700000000000000e+00	1.438300e+01	1.440000e+01	1.075519e+00	1.414954e+01	1.075519e+00	1.414737e+01	-1.440000e-16	1.440000e-18	1.075519e-19	1.700000e+00	-2.334649e-05	-2.334646e-05	-2.526319e-05	-2.526316e-05	-1.065814e-19	-1.700023e+00	-1.700714e+00	2.878994e-11	2.879394e-11	2.334646e-05	6.650632e-04	-6.885098e-04
1.800000000000000e+00	1.438200e+01	1.440000e+01	1.131519e+00	1.414954e+01	1.131519e+00	1.414737e+01	-1.440000e-16	1.440000e-18	1.131519e-19	1.800000e+00	-2.324649e-05	-2.324646e-05	-2.526319e-05	-2.526316e-05	-1.132427e-19	-1.800023e+00	-1.800714e+00	2.878994e-11	2.879394e-11	2.324646e-05	6.650640e-04	-6.884107e-04
1.900000000000001e+00	1.438100e+01	1.440000e+01	1.187519e+00	1.414954e+01	1.187519e+00	1.414737e+01	-1.440000e-16	1.440000e-18	1.187519e-19	1.900000e+00	-2.314649e-05	-2.314646e-05	-2.526319e-05	-2.526316e-05	-1.176836e-19	-1.900023e+00	-1.900713e+00	2.878994e-11	2.879394e-11	2.314646e-05	6.650649e-04	-6.883116e-04
