v_supply	V(v_batteries)	V(vout_reg)	V(n001)	V(n002)	V(n003)	I(C1)	I(C2)	I(C_adc1)	I(R1)	I(R2)	I(R3)	I(V1)	I(V_regulator)	Ix(U1:In+)	Ix(U1:In-)	Ix(U1:OUT)	Ix(U1:V+)	Ix(U1:V-)
0.000000000000000e+00	1.440000e+01	2.936083e-04	1.350598e-03	2.936083e-04	0.000000e+00	1.440000e-18	-1.440000e-16	2.936083e-23	-2.936083e-08	-2.936083e-08	-2.927346e-23	-6.176587e-04	2.781872e-11	-2.781872e-11	-2.781778e-11	-2.933301e-08	6.176587e-04	-6.177903e-04
1.000000000000000e-01	1.440000e+01	2.198975e-02	1.011528e-01	2.198975e-02	1.000000e-01	1.440000e-18	-1.440000e-16	2.198975e-21	-2.198975e-06	-2.198975e-06	-2.185752e-21	-6.650300e-04	2.739999e-11	-2.739999e-11	-2.739999e-11	-2.198947e-06	6.650300e-04	-6.629313e-04
2.000000000000000e-01	1.440000e+01	4.372874e-02	2.011522e-01	4.372874e-02	2.000000e-01	1.440000e-18	-1.440000e-16	4.372873e-21	-4.372874e-06	-4.372874e-06	-4.371503e-21	-6.729740e-04	2.699960e-11	-2.699960e-11	-2.699960e-11	-4.372846e-06	6.729740e-04	-6.687011e-04
3.000000000000000e-01	1.440000e+01	6.546788e-02	3.011523e-01	6.546788e-02	3.000000e-01	1.440000e-18	-1.440000e-16	6.546788e-21	-6.546788e-06	-6.546788e-06	-6.522560e-21	-6.740802e-04	2.659959e-11	-2.659959e-11	-2.659959e-11	-6.546762e-06	6.740802e-04	-6.676334e-04
4.000000000000000e-01	1.440000e+01	8.720703e-02	4.011523e-01	8.720703e-02	4.000000e-01	1.440000e-18	-1.440000e-16	8.720703e-21	-8.720703e-06	-8.720703e-06	-8.743007e-21	-6.751957e-04	2.619959e-11	-2.619959e-11	-2.619959e-11	-8.720676e-06	6.751957e-04	-6.665750e-04
5.000000000000000e-01	1.440000e+01	1.089462e-01	5.011524e-01	1.089462e-01	5.000000e-01	1.440000e-18	-1.440000e-16	1.089462e-20	-1.089462e-05	-1.089462e-05	-1.082467e-20	-6.763305e-04	2.579959e-11	-2.579959e-11	-2.579959e-11	-1.089459e-05	6.763305e-04	-6.655359e-04
6.000000000000000e-01	1.440000e+01	1.306853e-01	6.011524e-01	1.306853e-01	6.000000e-01	1.440000e-18	-1.440000e-16	1.306853e-20	-1.306853e-05	-1.306853e-05	-1.304512e-20	-6.782237e-04	2.539959e-11	-2.539959e-11	-2.539959e-11	-1.306851e-05	6.782237e-04	-6.652551e-04
7.000000000000000e-01	1.440000e+01	1.524244e-01	7.011524e-01	1.524244e-01	7.000000e-01	1.440000e-18	-1.440000e-16	1.524244e-20	-1.524244e-05	-1.524244e-05	-1.526557e-20	-6.803778e-04	2.499959e-11	-2.499959e-11	-2.499959e-11	-1.524242e-05	6.803778e-04	-6.652352e-04
7.999999999999999e-01	1.440000e+01	1.741636e-01	8.011525e-01	1.741636e-01	8.000000e-01	1.440000e-18	-1.440000e-16	1.741636e-20	-1.741636e-05	-1.741636e-05	-1.748601e-20	-6.825321e-04	2.459959e-11	-2.459959e-11	-2.459959e-11	-1.741633e-05	6.825321e-04	-6.652156e-04
8.999999999999999e-01	1.440000e+01	1.959027e-01	9.011525e-01	1.959027e-01	9.000000e-01	1.440000e-18	-1.440000e-16	1.959027e-20	-1.959027e-05	-1.959027e-05	-1.970646e-20	-6.846866e-04	2.419959e-11	-2.419959e-11	-2.419959e-11	-1.959025e-05	6.846866e-04	-6.651962e-04
9.999999999999999e-01	1.440000e+01	2.176419e-01	1.001153e+00	2.176419e-01	1.000000e+00	1.440000e-18	-1.440000e-16	2.176418e-20	-2.176419e-05	-2.176419e-05	-2.164935e-20	-6.868413e-04	2.379959e-11	-2.379959e-11	-2.379959e-11	-2.176416e-05	6.868413e-04	-6.651770e-04
1.100000000000000e+00	1.440000e+01	2.393810e-01	1.101153e+00	2.393810e-01	1.100000e+00	1.440000e-18	-1.440000e-16	2.393810e-20	-2.393810e-05	-2.393810e-05	-2.386979e-20	-6.889963e-04	2.339959e-11	-2.339959e-11	-2.339959e-11	-2.393808e-05	6.889963e-04	-6.651580e-04
1.200000000000000e+00	1.440000e+01	2.611201e-01	1.201153e+00	2.611201e-01	1.200000e+00	1.440000e-18	-1.440000e-16	2.611201e-20	-2.611201e-05	-2.611201e-05	-2.609024e-20	-6.911514e-04	2.299959e-11	-2.299959e-11	-2.299959e-11	-2.611199e-05	6.911514e-04	-6.651392e-04
1.300000000000000e+00	1.440000e+01	2.828593e-01	1.301153e+00	2.828593e-01	1.300000e+00	1.440000e-18	-1.440000e-16	2.828593e-20	-2.828593e-05	-2.828593e-05	-2.831069e-20	-6.933067e-04	2.259959e-11	-2.259959e-11	-2.259959e-11	-2.828590e-05	6.933067e-04	-6.651205e-04
