Freq.	V(n001)	V(n002)	V(n003)	V(n004)	I(D1)	I(R1)	I(R2)	I(V1)	I(V4)	Ib(Q1)	Ic(Q1)	Ie(Q1)
1.00000000000000e-001	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.19171492991688e+000dB,1.79999995883917e+002°)	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.62421887319805e+001dB,-2.47923764247288e-006°)	(-2.32982940503416e+002dB,-1.30087130031162e+002°)	(-6.04340204579036e+001dB,-1.79999999872969e+002°)	(-1.58931352588696e+001dB,-4.11608267500697e-006°)	(-6.04340204579036e+001dB,-1.79999999872969e+002°)	(-1.58931352587914e+001dB,1.79999995884530e+002°)	(-6.04340204578985e+001dB,1.27031007780437e-007°)	(-1.58931352587915e+001dB,-4.11546985725630e-006°)	(-1.58417917167396e+001dB,1.79999995909534e+002°)
1.11588399250775e-001	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.19171492991688e+000dB,1.79999995406929e+002°)	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.62421887319805e+001dB,-2.76654159885814e-006°)	(-2.32400501906219e+002dB,-1.27026696262924e+002°)	(-6.04340204579036e+001dB,-1.79999999858248e+002°)	(-1.58931352588696e+001dB,-4.59307076887875e-006°)	(-6.04340204579036e+001dB,-1.79999999858248e+002°)	(-1.58931352587914e+001dB,1.79999995407613e+002°)	(-6.04340204579006e+001dB,1.41751868134899e-007°)	(-1.58931352587915e+001dB,-4.59238693536045e-006°)	(-1.58417917167396e+001dB,1.79999995435515e+002°)
1.24519708473503e-001	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.19171492991687e+000dB,1.79999994874666e+002°)	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.62421887319805e+001dB,-3.08713948477259e-006°)	(-2.31769866341265e+002dB,-1.24056834190750e+002°)	(-6.04340204579036e+001dB,-1.79999999841821e+002°)	(-1.58931352588696e+001dB,-5.12533414744705e-006°)	(-6.04340204579036e+001dB,-1.79999999841821e+002°)	(-1.58931352587915e+001dB,1.79999994875429e+002°)	(-6.04340204579026e+001dB,1.58178640554875e-007°)	(-1.58931352587914e+001dB,-5.12457106857041e-006°)	(-1.58417917167396e+001dB,1.79999994906564e+002°)
1.38949549437314e-001	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.19171492991686e+000dB,1.79999994280722e+002°)	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.62421887319805e+001dB,-3.44488953369635e-006°)	(-2.31094325685082e+002dB,-1.21205610527182e+002°)	(-6.04340204579036e+001dB,-1.79999999823491e+002°)	(-1.58931352588696e+001dB,-5.71927833138951e-006°)	(-6.04340204579036e+001dB,-1.79999999823491e+002°)	(-1.58931352587915e+001dB,1.79999994281573e+002°)	(-6.04340204579056e+001dB,1.76509012957884e-007°)	(-1.58931352587914e+001dB,-5.71842682388607e-006°)	(-1.58417917167396e+001dB,1.79999994316316e+002°)
1.55051577983262e-001	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.19171492991685e+000dB,1.79999993617949e+002°)	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.62421887319805e+001dB,-3.84409708660923e-006°)	(-2.30377800316491e+002dB,-1.18495233180228e+002°)	(-6.04340204579036e+001dB,-1.79999999803036e+002°)	(-1.58931352588696e+001dB,-6.38205113869397e-006°)	(-6.04340204579036e+001dB,-1.79999999803036e+002°)	(-1.58931352587915e+001dB,1.79999993618899e+002°)	(-6.04340204579008e+001dB,1.96963582089823e-007°)	(-1.58931352587915e+001dB,-6.38110095510139e-006°)	(-1.58417917167397e+001dB,1.79999993657668e+002°)
1.73019573884589e-001	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.19171492991684e+000dB,1.79999992878371e+002°)	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.62421887319805e+001dB,-4.28956640459290e-006°)	(-2.29624566245598e+002dB,-1.15941693394595e+002°)	(-6.04340204579036e+001dB,-1.79999999780212e+002°)	(-1.58931352588697e+001dB,-7.12162870503444e-006°)	(-6.04340204579036e+001dB,-1.79999999780212e+002°)	(-1.58931352587915e+001dB,1.79999992879432e+002°)	(-6.04340204579054e+001dB,2.19788508356837e-007°)	(-1.58931352587915e+001dB,-7.12056841037348e-006°)	(-1.58417917167397e+001dB,1.79999992922694e+002°)
1.93069772888325e-001	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.19171492991682e+000dB,1.79999992053089e+002°)	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.62421887319806e+001dB,-4.78665848568423e-006°)	(-2.28839004115365e+002dB,-1.13554961184764e+002°)	(-6.04340204579036e+001dB,-1.79999999754742e+002°)	(-1.58931352588697e+001dB,-7.94691147253161e-006°)	(-6.04340204579036e+001dB,-1.79999999754742e+002°)	(-1.58931352587915e+001dB,1.79999992054272e+002°)	(-6.04340204579026e+001dB,2.45258478211977e-007°)	(-1.58931352587915e+001dB,-7.94572830669212e-006°)	(-1.58417917167397e+001dB,1.79999992102547e+002°)
2.15443469003188e-001	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.19171492991680e+000dB,1.79999991132169e+002°)	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.62421887319806e+001dB,-5.34135558177640e-006°)	(-2.28025392848477e+002dB,-1.11339589085528e+002°)	(-6.04340204579036e+001dB,-1.79999999726320e+002°)	(-1.58931352588697e+001dB,-8.86783130207419e-006°)	(-6.04340204579036e+001dB,-1.79999999726320e+002°)	(-1.58931352587915e+001dB,1.79999991133489e+002°)	(-6.04340204579008e+001dB,2.73680009868009e-007°)	(-1.58931352587915e+001dB,-8.86651102625346e-006°)	(-1.58417917167397e+001dB,1.79999991187359e+002°)
2.40409918350997e-001	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.19171492991677e+000dB,1.79999990104529e+002°)	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.62421887319806e+001dB,-5.96033319199618e-006°)	(-2.27187758051542e+002dB,-1.09295558767298e+002°)	(-6.04340204579036e+001dB,-1.79999999694605e+002°)	(-1.58931352588697e+001dB,-9.89547099824372e-006°)	(-6.04340204579036e+001dB,-1.79999999694605e+002°)	(-1.58931352587916e+001dB,1.79999990106002e+002°)	(-6.04340204579011e+001dB,3.05395142083327e-007°)	(-1.58931352587915e+001dB,-9.89399772358967e-006°)	(-1.58417917167397e+001dB,1.79999990166115e+002°)
2.68269579527972e-001	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.19171492991674e+000dB,1.79999988957802e+002°)	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.62421887319806e+001dB,-6.65104039896112e-006°)	(-2.26329774779916e+002dB,-1.07419221170463e+002°)	(-6.04340204579036e+001dB,-1.79999999659214e+002°)	(-1.58931352588698e+001dB,-1.10421976852648e-005°)	(-6.04340204579036e+001dB,-1.79999999659214e+002°)	(-1.58931352587916e+001dB,1.79999988959446e+002°)	(-6.04340204579031e+001dB,3.40785550439230e-007°)	(-1.58931352587916e+001dB,-1.10405536816618e-005°)	(-1.58417917167398e+001dB,1.79999989026525e+002°)
